aid,2000,2003,2006,2009
137849,C,C,C,C
137862,B,B,B,B
1379,C,C,C,A
137900,C,D,D,B
137902,B,B,B,B
137907,D,C,C,C
137911,B,B,B,A
137917,C,C,C,C
137936,C,C,C,C
137943,A,A,B,B
137963,C,C,C,C
137986,B,B,B,B
138005,B,B,B,B
138020,B,A,A,B
138029,C,C,C,C
13803,C,D,B,B
138053,C,D,B,B
138072,B,B,B,B
138077,B,B,B,B
138093,B,B,B,A
138094,C,C,C,C
1381,C,C,C,C
138103,C,C,C,C
138110,B,B,B,B
138129,A,A,,A
138143,C,C,C,C
138144,C,C,C,C
138145,B,C,C,C
138161,B,B,B,B
138164,B,B,B,B
138180,C,C,C,C
138188,D,C,C,C
138193,C,C,C,C
138205,B,B,B,A
138218,B,B,B,B
138219,B,B,B,B
138224,B,B,B,B
138228,C,D,D,D
138235,B,B,B,B
138261,D,B,B,B
138273,C,C,C,C
138277,C,C,C,C
138279,B,B,B,B
138294,C,C,C,C
138295,B,B,B,B
138296,D,D,D,D
13830,B,A,,C
138301,C,C,C,C
138303,B,B,B,B
138314,B,B,B,B
138339,D,D,D,D
138340,C,B,B,D
138342,B,B,B,D
138344,B,B,B,B
138350,B,B,B,B
138370,B,B,B,B
138373,C,C,D,D
138374,C,C,C,C
1383774,B,B,B,B
138381,D,C,C,C
138402,B,B,B,B
138431,C,A,A,A
138436,B,B,C,C
138441,B,B,B,B
138442,B,B,A,B
138448,C,C,C,C
13845,C,C,C,C
138453,C,C,C,B
138456,C,C,D,D
138464,B,B,B,B
138477,B,B,B,B
138484,B,B,B,B
138485,C,A,B,B
138486,B,B,B,B
138487,C,C,,D
138489,A,C,C,D
13849,B,C,,C
138503,B,B,B,B
138509,B,B,B,B
138517,D,D,D,D
138522,D,D,D,D
138525,D,B,B,B
138548,B,B,B,B
138553,C,C,C,C
138560,C,C,C,C
138581,B,B,C,C
138583,B,A,A,A
138590,B,B,B,B
138591,B,B,D,D
138596,C,C,B,B
138609,C,D,D,D
138620,C,C,C,C
138622,C,D,C,C
138627,C,C,C,C
138629,C,C,C,C
138639,D,C,C,C
138664,C,C,C,C
138669,B,B,B,B
138688,C,C,C,C
138698,C,C,C,A
138738,D,D,B,B
138754,B,B,B,B
138762,C,B,B,B
138773,C,C,A,A
138775,C,C,C,C
138777,C,D,D,D
138791,A,A,A,A
138804,B,B,B,B
138805,B,B,B,B
138823,D,D,D,D
138824,B,B,B,B
138825,B,D,B,B
138836,B,B,B,B
138859,B,B,B,C
138866,C,,C,D
138874,D,B,B,B
138879,B,B,B,
138891,D,D,C,D
138893,B,B,B,B
138924,D,D,D,C
138925,B,B,B,A
138934,B,D,C,A
13894,B,B,B,B
13895,D,,D,D
138958,D,D,,C
138963,B,B,B,B
138974,D,C,C,D
138975,D,C,,D
138979,C,C,C,C
139,B,B,B,B
139000,B,B,B,B
139007,B,B,B,B
139011,B,B,B,D
139031,A,C,C,C
139033,C,C,C,C
139034,D,C,C,C
139035,B,B,B,B
139037,C,C,C,C
139049,C,D,D,D
139052,C,C,C,C
139058,C,C,C,C
139069,C,C,D,A
139081,B,B,B,B
139107,C,A,B,B
139121,C,C,C,C
139124,A,A,,B
139126,A,A,A,A
139128,B,B,B,B
139149,B,B,B,A
139156,D,D,D,D
139164,C,C,C,C
139166,D,C,C,C
139170,C,C,C,C
139172,C,C,C,C
139173,D,C,D,C
139176,D,B,B,B
139198,C,C,C,C
139211,B,B,B,B
139220,A,A,A,C
139238,C,C,C,C
139241,C,C,C,C
139243,A,B,A,B
139261,B,B,B,B
139273,B,B,B,B
139276,B,B,B,B
139282,B,B,A,A
139308,C,C,C,C
139322,C,C,C,C
139348,B,B,B,D
139372,B,B,,A
139374,A,A,A,B
139375,B,B,B,B
139411,B,B,B,B
139416,D,D,D,D
139424,B,B,B,B
139431,A,C,C,C
139437,B,B,B,B
139440,B,B,B,B
139450,D,D,D,D
139483,A,A,C,C
139485,A,A,A,A
139503,C,C,A,A
139507,C,C,C,C
139554,D,B,B,B
139557,A,B,B,B
139564,C,D,C,C
139570,B,B,B,B
139573,D,D,,D
139609,C,C,C,C
139632,B,B,B,B
139635,C,C,C,C
13964,C,C,C,C
139650,C,C,C,C
139660,C,C,C,C
139665,B,A,A,C
139667,B,C,B,B
139674,D,D,D,C
139689,B,B,B,B
139691,C,C,C,C
139699,C,C,C,C
13970,B,B,B,B
139704,B,B,B,B
139724,C,B,B,B
139726,D,D,D,D
139734,B,B,B,B
139744,D,C,C,D
139750,D,C,C,C
139759,C,C,A,A
139773,C,C,C,C
139818,A,B,B,B
139828,C,C,D,B
139842,B,B,B,B
139852,B,B,B,B
139861,C,C,C,C
139863,C,C,C,C
139866,B,A,B,B
139876,D,D,C,C
139884,B,B,B,B
139911,B,B,B,B
139912,B,B,D,B
139916,D,D,D,D
139918,B,B,B,B
139923,D,D,D,D
139924,B,B,B,B
139928,C,C,C,C
139932,D,C,D,
139938,A,A,A,A
139951,C,C,C,C
139955,C,C,C,C
139971,B,B,B,B
139979,C,C,,C
139999,B,D,B,B
140005,B,B,B,
140006,C,C,C,C
140007,B,B,B,C
140010,B,B,B,B
140013,C,C,D,C
140019,B,D,D,D
140050,C,D,B,B
140065,C,C,C,C
140090,B,B,B,B
140093,B,B,B,B
140096,A,A,B,B
140109,B,B,B,B
140113,B,B,B,B
140114,B,A,A,B
14012,C,C,C,C
140124,B,B,B,A
140126,B,D,B,B
140131,B,B,B,B
140142,B,B,B,B
140191,C,C,C,C
140203,D,D,B,B
140213,D,B,B,B
140229,C,D,,C
14023,B,B,C,C
140230,C,C,C,C
140244,A,A,A,A
140245,A,A,A,A
140248,C,C,C,C
140251,B,A,A,A
140252,C,D,B,D
140282,B,B,B,B
140300,A,A,,B
140303,B,B,B,A
140311,C,C,C,A
140317,B,D,C,C
140331,C,C,C,C
140333,C,C,C,C
140375,C,C,C,C
140379,B,B,B,B
140388,A,A,A,A
140393,C,D,B,B
140394,D,A,B,B
1404,A,A,A,A
140412,B,B,B,B
140444,C,C,C,C
140453,D,D,D,D
140455,B,B,B,B
14047,D,D,C,C
140484,C,C,C,C
140485,C,C,C,C
140486,A,A,A,A
140487,C,C,C,C
1405,C,D,B,
140510,A,B,A,A
140518,C,A,A,A
140526,B,B,B,B
140532,B,B,B,B
140538,C,C,C,C
14055,D,D,,D
140551,C,,C,C
140557,C,C,C,C
140562,D,D,C,C
140573,C,C,C,C
140575,C,C,C,C
140582,D,D,D,D
140583,D,D,D,D
140589,B,B,B,A
140603,B,B,B,B
140604,B,B,B,B
140630,B,B,B,B
140643,C,C,C,C
140646,C,C,C,C
140648,C,C,C,C
140653,C,C,C,C
140668,B,B,B,B
140672,A,B,B,B
140682,D,C,C,C
140685,B,B,B,B
140687,B,B,B,B
140697,C,C,D,B
140698,C,C,C,C
140704,D,D,D,D
14073,B,A,A,A
140736,B,B,B,B
140765,B,B,B,B
140766,B,B,B,B
140772,B,B,B,B
140782,D,D,C,C
140783,B,A,C,C
140789,B,D,C,D
140791,C,C,C,C
140806,D,C,C,C
140816,B,B,B,B
140835,B,B,A,A
140860,D,D,D,D
140892,D,D,D,C
140897,C,C,C,C
140903,B,B,B,B
140904,B,B,B,B
140921,C,C,C,C
140951,A,A,A,A
14096,C,C,C,C
140977,B,C,D,D
140984,C,D,B,D
140990,A,C,C,C
141037,B,A,A,A
141038,A,B,B,B
141040,D,D,D,D
141054,C,C,C,C
141060,C,C,C,C
141063,C,C,C,C
141073,C,C,C,C
141088,B,B,B,B
141118,A,A,A,A
141121,B,B,B,B
141124,D,D,D,D
141126,B,B,B,B
141137,C,C,C,C
141139,C,C,C,C
141140,C,C,C,C
141152,B,B,B,B
141162,D,B,B,B
141166,B,B,B,B
141191,B,B,B,B
141224,D,C,C,C
14124,C,C,,D
141255,B,B,B,B
141268,D,D,D,D
141288,C,D,,B
14129,C,C,C,C
141290,B,B,B,B
141298,B,B,B,B
141314,C,C,C,C
141320,D,D,C,D
141334,D,B,B,B
141336,B,B,B,B
141344,B,B,B,B
141372,B,B,B,B
141373,B,B,B,B
141374,B,B,B,B
141377,C,C,C,C
141423,B,B,B,B
141434,D,D,D,D
141442,B,B,B,C
141443,B,B,B,B
141460,B,B,B,B
141463,B,B,B,B
141464,B,B,B,B
141466,B,B,B,B
141469,B,B,B,B
141470,B,B,B,B
141472,B,B,B,B
141473,C,C,D,C
141479,C,C,C,C
14148,C,C,C,C
141503,C,C,A,A
141505,C,C,C,C
141506,C,C,C,C
141520,B,B,B,B
141536,B,B,B,B
141541,B,B,B,B
1415464,A,B,B,B
141547,B,B,B,B
141556,B,B,B,B
141559,B,B,B,B
141568,C,C,B,B
14157,C,C,C,C
141572,C,C,C,C
141578,B,D,C,C
141587,B,B,B,B
141589,B,B,B,A
141595,A,A,,A
141604,D,C,C,C
141610,C,C,C,C
141626,D,D,D,D
141631,B,B,B,B
141636,B,B,B,B
141645,B,B,B,B
141647,C,D,B,B
141687,C,C,C,C
141694,B,B,B,B
141729,B,B,B,A
141750,B,B,,B
141751,D,D,B,B
141760,B,A,A,A
141773,B,B,B,B
141782,D,D,D,D
141788,B,B,B,B
141801,D,C,C,C
141815,B,B,B,
141818,D,B,B,B
141825,D,C,D,C
14183,A,C,C,C
141847,B,B,B,B
141849,B,B,B,B
141865,C,C,C,C
141881,C,C,C,C
141884,C,C,C,C
141891,A,A,C,C
141900,D,D,,C
141909,B,B,B,B
141914,B,B,B,B
141924,A,A,B,A
141931,C,C,C,C
141953,C,C,C,B
141963,B,B,B,B
1419634,D,D,C,C
141981,B,B,,A
141991,C,C,C,D
141992,C,C,C,C
142,C,C,C,C
142013,C,C,A,A
142016,B,B,B,B
142017,B,B,B,B
142031,C,C,C,C
14205,C,A,A,A
142053,D,C,C,C
142057,B,B,B,B
142059,B,B,B,B
142060,B,B,B,D
142071,B,B,B,B
142072,C,C,D,C
142079,B,B,B,B
142089,D,D,C,D
142108,C,C,C,C
14211,C,C,D,C
142111,B,A,A,A
1421205,B,B,B,B
142123,A,C,A,A
142132,C,C,C,C
142145,B,B,B,B
142151,B,B,B,B
14216,C,C,C,C
142161,D,D,D,D
142162,D,D,D,D
142166,B,B,,A
142179,D,C,C,C
142184,B,,A,B
142188,B,B,A,B
142223,D,C,,D
142235,B,C,D,
142237,C,C,C,C
142240,A,A,A,A
142241,B,B,B,B
142244,B,B,B,B
142245,B,B,B,B
142247,B,B,B,B
142249,B,B,B,B
142252,B,B,B,D
142263,B,B,B,B
142271,D,D,C,C
142278,C,B,B,B
142282,B,A,A,A
142309,A,B,B,B
142315,C,C,A,A
142323,C,C,C,D
142327,A,B,B,A
142332,C,C,C,C
142338,D,D,D,D
142346,D,D,D,D
142380,D,D,D,D
142388,D,D,D,C
142394,C,C,C,C
142395,B,B,B,B
14240,C,A,A,A
142402,A,A,A,B
142416,B,B,B,B
142422,A,B,B,B
142424,B,C,D,D
142426,C,C,C,C
142433,B,B,B,B
142434,B,B,B,B
142436,A,A,C,C
142437,A,A,C,
14246,D,B,B,D
142470,C,C,C,C
142474,C,C,C,C
14248,A,B,B,A
142485,C,C,C,C
142490,C,C,C,C
142497,C,C,C,C
142508,D,D,D,D
142514,C,C,C,C
14253,C,C,C,C
142531,C,C,C,C
142549,D,D,,C
142550,B,B,B,B
142556,D,B,B,B
142577,C,C,C,C
142579,C,C,C,C
142593,A,A,A,
142602,C,C,C,C
142612,D,D,D,D
142648,B,B,B,D
142653,D,C,C,D
14266,A,A,C,C
142666,B,A,D,D
142668,C,C,C,C
142696,B,D,D,C
1427,C,C,C,C
142705,D,D,D,D
142729,C,C,C,C
14274,C,C,C,C
142740,C,D,D,D
142763,B,B,B,B
142769,B,C,D,
142774,B,B,B,B
142796,B,B,B,B
142799,C,D,D,C
142819,C,C,D,D
142822,C,C,A,A
142872,C,C,C,C
142875,B,B,C,C
142885,C,C,C,C
142886,C,C,C,C
142887,C,C,C,C
142891,C,D,C,C
142894,C,C,C,C
142895,D,C,C,C
142912,D,D,D,D
142918,B,B,B,B
142919,B,A,A,B
142920,B,B,B,B
142954,C,D,D,D
14298,C,C,C,C
142981,D,D,C,D
143003,B,B,B,B
143015,B,B,B,B
143018,B,B,B,B
143019,B,B,B,B
14302,A,A,B,B
143020,C,C,C,C
143030,D,C,C,C
143043,A,A,B,B
143044,C,C,C,C
143058,D,D,C,D
143059,B,B,B,B
143062,C,C,C,C
143063,C,C,C,C
143069,D,D,D,D
143079,D,D,D,D
143083,A,B,B,B
143087,C,C,C,C
143090,A,A,A,C
143100,C,C,C,A
143112,C,C,C,C
143113,A,B,B,B
143115,D,D,D,C
143118,C,C,C,C
143124,B,B,B,B
143154,C,C,C,
1431563,B,B,D,D
143241,B,B,B,B
143243,B,B,,B
143252,C,C,C,C
143254,C,C,D,D
143263,A,B,A,B
143271,A,A,A,B
143272,B,B,B,B
143274,C,A,B,B
143276,B,B,A,B
143278,B,B,B,B
143287,C,C,C,A
143311,D,D,D,D
143326,D,C,C,C
143331,D,B,B,B
14338,C,C,,C
143415,D,C,C,C
143416,C,C,C,C
143421,D,D,D,D
143430,D,C,C,C
143454,C,C,C,C
143458,C,C,C,C
143474,B,B,B,B
143489,D,C,C,C
143495,C,C,C,C
143523,B,B,B,B
143542,D,D,D,D
143555,C,C,C,C
143567,B,B,A,C
143572,C,C,C,C
143573,D,C,C,C
143576,C,C,C,C
14359,B,B,B,B
143591,B,B,C,C
143592,C,C,C,C
143595,A,A,B,B
143596,A,A,,C
143600,C,C,C,C
143601,C,C,C,D
143624,C,C,A,A
143641,C,C,C,C
143645,A,C,C,C
143655,B,B,B,B
143679,D,D,D,C
143694,B,B,D,D
143708,,D,C,C
143720,B,A,,B
143723,B,C,C,C
14373,C,B,B,B
14374,D,B,B,B
143751,D,B,B,B
143759,A,C,D,C
143764,B,B,B,B
143767,D,D,D,D
143768,B,B,B,B
143769,B,B,B,B
143770,C,C,C,C
143786,B,B,B,B
143834,A,B,B,B
143837,A,A,B,B
143844,B,B,B,B
143847,B,B,B,B
143848,B,B,B,B
143860,D,B,B,B
143863,A,A,A,A
143864,A,A,A,A
143867,B,B,B,B
143868,B,B,B,B
143878,B,D,D,D
14388,C,C,A,A
143889,B,B,B,B
14389,C,C,A,A
1439,C,A,A,A
143911,D,D,D,B
143916,A,B,B,B
143926,C,C,C,C
143927,B,B,,A
143930,B,A,A,B
143939,A,B,B,B
143946,B,B,B,B
143947,A,A,A,A
143959,D,D,D,B
143961,D,D,C,C
143968,D,D,C,C
143980,B,B,B,B
143981,B,B,B,B
143982,B,B,B,B
143988,B,B,B,B
143993,B,B,B,B
143994,D,D,C,C
143999,A,A,A,A
144004,B,A,B,
144005,B,B,B,B
144006,B,B,B,B
144011,C,D,B,B
144034,D,D,D,D
144038,D,D,C,C
144040,D,B,B,D
144066,B,A,A,A
144067,B,B,B,B
144071,B,B,B,B
144076,C,D,D,D
144090,B,B,A,A
144112,D,C,C,C
144117,D,D,B,B
144120,C,C,D,D
144122,C,C,C,C
144130,C,C,C,C
144132,A,A,A,A
144140,A,C,C,C
144175,B,B,B,B
144177,B,B,B,B
144178,B,B,B,B
144186,D,D,C,D
14419,C,C,C,C
144195,A,A,A,A
144196,B,B,B,B
144197,C,C,C,C
144199,A,A,A,A
144208,D,D,B,B
144215,B,B,B,B
144251,B,B,B,B
144263,C,C,C,C
144274,B,A,A,A
144289,B,B,B,B
144290,D,D,D,D
144292,A,A,A,A
144320,A,B,A,A
144325,A,B,B,B
144334,C,C,C,C
144339,C,C,C,C
144345,B,B,B,B
144352,C,C,,D
144386,B,B,B,B
144399,B,B,A,A
144407,B,B,C,C
144429,B,B,B,B
144446,B,B,B,B
144454,C,C,C,C
144457,C,C,D,D
144459,A,C,C,C
144474,B,B,D,D
144480,B,B,B,B
144495,D,C,D,A
144515,C,C,D,C
144519,C,C,D,D
144523,D,D,D,D
144562,D,D,D,D
144565,C,C,C,C
144576,A,A,B,A
144594,A,A,A,A
144600,C,C,A,A
144610,C,C,C,C
144612,C,C,C,C
144633,B,D,D,C
144639,B,B,A,A
144656,D,C,C,C
1446596,A,C,C,C
144686,B,B,B,B
144709,C,C,B,B
144713,B,B,B,B
144719,C,C,C,C
14473,C,C,C,C
144739,B,B,B,B
144744,D,D,C,B
144747,D,B,B,B
144784,D,C,D,D
144808,A,A,A,B
144822,B,B,B,B
144823,B,B,B,B
144824,B,B,B,B
144870,B,B,D,D
144878,A,B,B,B
144880,C,C,C,D
144882,A,C,C,C
144883,C,C,C,C
144906,C,C,C,C
144912,C,C,C,C
144913,B,B,B,B
144922,A,A,A,B
144959,A,A,A,B
144970,B,A,A,C
14498,B,B,A,A
144981,C,C,C,C
144983,C,C,C,C
144987,D,D,D,D
144999,A,A,A,B
145015,D,D,D,D
145020,D,D,D,D
145021,C,D,D,C
145040,B,B,B,B
145041,C,C,C,C
145042,B,B,B,C
14505,C,D,C,C
145078,B,A,B,C
145080,B,,D,D
145081,D,D,D,C
145109,B,B,B,A
145130,D,D,D,D
145138,B,B,B,B
145140,B,B,B,B
145154,B,B,B,B
145158,A,C,C,C
145186,C,C,C,C
145196,B,A,A,C
145199,D,C,C,C
145201,D,C,C,C
145216,A,B,B,B
145220,B,B,A,
145246,D,D,D,
145258,C,D,D,D
145264,B,B,B,B
145266,B,B,,A
145267,C,C,C,C
145287,B,B,B,B
145313,B,B,B,B
145326,D,D,C,A
145329,A,A,C,C
145333,B,B,B,B
145340,C,C,C,C
145375,C,C,C,C
145385,D,D,D,D
145387,D,D,D,D
145393,D,D,C,C
145451,B,B,B,A
145456,B,B,B,B
145458,B,B,B,D
145484,C,C,C,C
145487,B,B,B,B
145489,B,A,A,B
145491,B,B,B,B
145513,D,D,D,D
145525,D,C,C,C
145539,B,B,B,B
145556,B,B,B,B
145570,C,C,C,C
145577,B,B,B,B
145591,C,C,C,C
145630,D,D,D,D
145638,D,D,C,C
145639,B,B,B,B
145640,B,B,B,B
145647,B,B,B,B
145653,B,B,B,B
145654,D,C,C,C
145669,D,D,D,D
145699,C,D,D,D
145702,C,C,C,C
145727,C,C,C,C
1457279,D,B,B,B
145739,B,B,B,B
145742,C,C,C,C
145760,C,C,C,C
145768,A,B,B,B
145782,A,A,A,C
1458,B,D,,C
145811,A,C,C,C
145824,D,C,C,C
145826,C,C,C,C
145832,C,C,C,C
145839,B,B,B,B
145843,B,B,B,B
145847,D,C,B,B
145856,D,D,D,D
14586,D,D,D,D
145876,D,D,D,D
145888,C,C,C,A
145892,C,C,D,B
14590,A,A,A,A
145902,C,C,C,C
145904,C,C,C,C
145914,C,C,D,D
145919,B,B,B,B
145921,C,C,D,D
145934,C,C,B,C
145945,C,C,D,D
145947,B,D,B,B
145959,B,B,B,B
145961,C,D,B,B
145964,A,C,C,C
145993,C,C,A,A
1460,B,B,B,B
146010,C,C,C,C
146011,B,A,B,B
146017,C,C,C,C
146022,A,B,B,B
146033,A,C,C,C
146040,B,B,B,B
146051,C,B,A,B
146060,C,D,D,D
146082,B,B,B,B
146090,C,C,C,C
146091,A,A,B,B
146096,A,B,B,B
146097,A,B,B,B
146124,D,C,C,
146125,A,B,B,B
146145,C,C,D,C
146146,B,B,B,B
146149,B,B,B,B
146164,B,B,B,B
146169,A,C,C,C
146177,A,B,B,B
146184,B,B,B,B
146194,A,,B,B
146197,B,B,B,B
146202,C,B,B,B
146268,B,A,A,A
146280,A,B,B,B
146294,A,C,D,C
146303,B,A,A,A
146318,C,C,C,C
146327,B,B,B,B
146337,C,C,C,C
14636,C,C,C,C
146402,C,C,,C
146414,B,B,B,B
146429,D,C,C,C
14644,C,C,C,C
146448,D,C,C,C
146451,A,B,B,B
146460,D,D,D,C
146465,B,B,B,D
146468,C,C,C,C
146486,A,A,A,C
146520,C,C,C,C
146527,B,B,B,B
146549,B,B,B,B
146550,A,A,B,B
146551,B,B,B,B
146553,C,C,C,C
146561,C,A,A,B
146594,C,D,C,C
146598,B,B,B,B
146607,C,C,C,C
146611,C,C,C,C
146632,D,C,C,D
146652,C,C,C,C
146664,B,B,B,B
146671,B,B,B,B
146672,B,B,B,B
146674,B,B,B,B
146677,B,B,B,B
146678,B,B,B,B
146703,D,B,B,B
146707,A,B,A,C
146752,C,C,C,C
146769,B,B,B,B
14677,A,C,C,C
146774,B,B,B,B
146779,B,B,B,B
146780,B,B,B,B
146801,D,C,C,C
146816,C,C,C,C
146821,C,C,C,C
146824,B,B,B,B
146828,B,C,D,C
146839,C,C,C,C
146858,D,C,C,C
146865,B,B,B,A
146866,A,B,B,B
146868,B,B,B,B
146885,C,C,C,C
146903,B,B,B,
146908,A,B,B,B
146916,B,B,B,B
146927,B,B,B,B
146928,B,A,B,B
146929,B,B,B,B
146938,B,B,B,B
146944,C,C,C,C
146957,C,C,C,C
146961,B,B,A,A
146975,A,B,B,B
146982,D,C,D,D
146984,C,C,C,C
147,C,C,C,C
147000,A,A,B,B
147007,A,B,A,A
147008,A,B,A,A
147020,D,D,C,C
147033,A,C,C,B
147068,A,B,B,B
147080,C,B,B,B
147101,C,C,C,C
147104,C,C,C,C
14711,D,C,C,C
147117,C,C,C,C
147118,C,C,C,C
147134,C,C,C,C
147151,B,B,B,B
147153,B,D,D,B
147161,B,D,D,D
147165,D,D,D,B
147168,C,D,D,D
147176,B,B,B,B
147178,C,C,C,C
147188,A,A,A,A
147193,C,C,C,C
147200,C,C,D,D
147207,C,B,B,B
147208,C,D,D,D
147212,C,C,C,C
147216,C,C,C,C
147235,A,C,C,C
147241,C,C,C,C
147245,B,B,B,B
147260,B,B,B,B
147262,B,C,D,D
147267,C,C,B,B
147272,C,C,C,C
14729,C,A,B,B
147290,C,C,C,D
147315,D,B,B,B
147324,B,D,B,B
14734,A,C,A,C
147341,C,D,A,A
147349,C,C,C,C
147355,A,A,A,B
147362,B,B,B,B
147370,D,D,D,D
147376,D,D,D,C
147384,C,B,B,B
147393,C,C,C,C
147395,C,C,B,B
147412,B,B,B,B
147430,A,C,C,C
147445,D,D,D,B
147448,B,B,B,B
147451,C,C,C,C
14747,C,C,C,C
147471,C,C,C,C
147480,C,C,C,C
147491,C,C,C,C
147499,C,C,A,A
1475,B,B,B,B
147512,B,B,B,B
147524,A,A,A,B
14754,A,A,A,B
147557,A,A,A,A
147562,B,B,B,B
147573,B,B,B,B
147576,C,C,C,C
147581,B,A,C,A
147589,A,B,B,B
147590,D,D,D,C
147597,C,C,C,C
147602,B,B,B,
147608,D,B,B,B
147631,A,B,B,B
147637,B,B,B,B
147645,A,A,A,A
147654,B,B,B,B
147666,B,C,C,C
147670,B,B,B,B
147676,B,B,B,B
147677,B,B,B,B
147689,A,C,A,A
14769,C,C,C,C
147691,B,B,B,B
147696,C,C,C,C
147697,C,C,C,C
147699,D,D,B,A
14770,C,C,C,C
147700,B,B,,B
147706,B,C,C,C
147715,A,C,C,C
147734,C,C,C,C
147743,B,B,B,B
147744,B,B,B,B
147748,B,B,B,B
147751,B,B,B,B
147775,D,D,D,D
147790,B,A,A,A
147795,C,C,C,C
147799,D,D,D,D
147801,C,C,C,C
147803,C,C,C,C
147804,C,C,C,A
147806,B,B,B,A
147807,A,A,B,B
147809,D,D,B,B
147813,B,D,B,B
147816,C,C,C,C
147819,B,B,A,A
147822,C,C,A,A
147842,B,B,B,B
147853,B,B,B,B
147858,A,C,D,D
147870,B,B,B,B
147874,B,B,B,B
147878,C,B,B,B
147880,C,C,C,C
147883,B,B,B,B
147896,C,D,B,B
147899,C,A,B,B
1479,B,A,B,B
147901,C,C,C,C
147902,D,D,D,D
147906,C,B,A,A
147929,C,C,C,C
147933,B,B,B,B
147934,B,B,B,B
147936,D,C,C,C
147945,A,C,C,D
147964,C,C,C,C
147965,C,C,C,C
147993,C,C,C,C
147999,C,A,A,A
148015,B,B,B,B
148028,C,C,C,C
148032,A,C,C,
148048,C,C,C,C
148052,B,B,B,B
148075,B,B,B,B
148085,C,A,A,A
148095,A,A,A,A
148096,A,A,B,C
148106,C,C,C,C
148123,B,B,B,B
148124,B,B,B,B
148130,C,C,B,B
148133,A,A,A,A
148184,B,B,B,B
148213,B,B,B,B
148220,B,B,B,B
148221,B,B,B,B
148223,B,B,B,B
148227,D,C,C,C
148238,B,B,B,B
148247,A,B,B,B
148251,A,B,A,B
148254,D,D,D,D
148256,A,A,A,C
148281,C,C,C,C
148286,C,A,B,B
148288,C,C,C,C
148292,C,C,C,C
148296,A,C,C,C
148304,C,D,D,D
148306,D,D,D,D
148307,D,D,D,D
148308,D,D,D,D
148313,A,B,B,B
148314,C,B,B,B
148318,B,C,C,C
148337,B,,A,A
148349,A,A,A,
148351,A,B,B,B
148364,C,C,C,C
148381,B,B,B,B
148408,D,B,B,B
148412,C,C,C,C
148418,A,B,B,B
148422,D,D,C,C
148427,C,C,C,C
148443,A,B,B,B
148463,B,B,B,B
148467,B,B,C,C
148469,C,C,C,C
148499,B,A,A,A
148500,B,A,B,
148501,B,B,,B
148506,D,C,C,C
148512,A,C,C,C
148530,B,B,B,B
148537,B,A,A,A
148545,C,C,D,D
148552,D,C,C,C
148553,C,D,D,B
148560,B,B,B,B
148566,C,C,D,D
148575,D,D,D,D
148643,B,B,B,B
148648,C,C,C,C
148655,C,C,C,C
148656,C,C,C,C
148676,C,C,,D
148680,C,A,A,C
148681,C,C,C,C
148699,C,B,B,B
148727,B,B,B,B
148730,C,C,C,C
148747,C,C,C,C
148753,A,A,A,A
148766,C,C,C,C
148779,B,B,B,A
148780,B,B,B,B
148784,B,B,B,B
148786,D,C,D,D
148789,D,D,D,
148798,D,C,D,D
148802,A,C,D,D
148805,B,D,D,D
148812,B,B,B,B
148822,B,D,D,D
148828,C,C,C,C
148834,B,,B,B
148847,A,B,B,B
148869,C,C,C,C
148876,C,C,C,C
148887,C,A,A,A
148912,A,B,B,B
14892,C,C,C,C
148920,C,C,C,C
148928,C,C,D,C
148937,B,B,B,A
148943,C,C,B,B
148949,A,D,D,
148952,C,C,C,A
148954,A,B,B,B
14899,C,A,A,B
149,C,C,C,D
1490,D,D,D,D
149000,D,D,D,D
149031,C,C,C,C
149032,A,A,C,C
149038,B,B,B,B
149053,A,C,C,C
149063,D,D,C,C
149078,A,B,B,A
149117,B,B,B,B
149127,C,C,A,B
149150,C,B,B,B
149151,A,B,B,B
149205,C,B,B,B
149258,B,B,B,B
149262,C,C,C,C
149276,D,D,D,D
14928,C,C,C,C
149282,C,C,C,C
149316,D,A,A,A
149326,D,D,D,D
149332,D,D,D,D
149338,D,C,C,C
149357,B,D,D,D
149362,B,B,B,B
149373,C,D,D,B
149377,D,D,D,D
149382,C,C,C,C
149398,B,B,B,B
149416,C,C,C,C
149417,D,C,C,C
149418,C,C,C,C
149425,C,C,C,C
149441,C,C,C,C
149467,B,A,B,A
149470,B,B,A,B
149471,B,B,B,B
149476,B,B,B,B
149477,D,B,B,B
149483,C,C,C,C
149492,C,C,C,C
149495,B,,A,A
149497,B,A,A,A
149511,B,D,D,D
149517,A,C,C,C
149518,B,B,B,B
149521,C,C,C,C
149524,C,C,C,C
149529,B,B,B,D
149549,B,B,B,A
149555,C,C,C,D
149598,D,C,C,C
14962,A,C,C,C
149621,D,C,C,A
149638,C,C,C,C
149643,A,C,C,C
149645,C,C,C,C
149660,B,B,B,B
149663,B,B,B,B
149668,B,A,A,A
149680,B,B,B,B
149685,C,C,C,C
149689,C,C,C,C
149691,D,D,C,C
149693,C,C,C,D
149708,B,B,B,B
149720,A,C,C,C
149726,D,B,B,B
149728,D,D,D,D
149744,C,C,C,C
149754,B,B,B,D
149761,C,C,C,C
149763,B,B,B,A
149781,C,C,C,C
149782,C,C,C,C
149795,C,A,C,A
149798,C,D,D,D
149800,B,B,B,B
149807,D,C,D,D
149808,D,A,C,C
149817,B,B,B,B
14982,D,B,B,A
